R1SZFUL,R1SZELETSZ,R1SZKSORSZ
J0535,3408405356,8
J0537,3408405370,7
J0538,3408405387,20
J0543,3408405433,8
J0545,3408405457,6
J0546,3408405464,4
J0547,3408405471,6
J0549,3408405495,7
J0550,3408405503,13
J0551,3408405510,7
J0552,3408405527,10
J0553,3408405534,4
J0555,3408405558,16
J0556,3408405565,0
J0557,3408405572,6
J0558,3408405589,15
J0560,3408405604,6
J0561,3408405611,24
J0562,3408405628,13
J0565,3408405659,2
J0566,3408405666,8
J0567,3408405673,12
J0570,3408405705,8
J0571,3408405712,9
J0573,3408405736,7
J0574,3408405743,8
J0576,3408405767,10
J0578,3408405781,8
J0581,3408405813,6
J0584,3408405844,19
J0586,3408405868,10
J0587,3408405875,19
J0589,3408405899,3
J0595,3408405952,5
J0597,3408405976,1
J0598,3408405983,28
J0599,3408405990,6
J0600,3408406001,21
J0607,3408406070,10
J0608,3408406087,6
J0617,3408406171,3
J0619,3408406195,13
J0620,3408406203,9
J0625,3408406258,14
J0626,3408406265,11
J0628,3408406289,1
J0631,3408406311,8
J0632,3408406328,1
J0634,3408406342,14
J0635,3408406359,0
J0636,3408406366,18
J0637,3408406373,16
J0640,3408406405,7
J0642,3408406429,11
J0643,3408406436,6
J0645,3408406450,10
J0646,3408406467,5
J0647,3408406474,3
J0650,3408406506,7
J0653,3408406537,4
J0655,3408406551,5
J0656,3408406568,7
J0658,3408406582,3
J0660,3408406607,6
J0663,3408406638,2
J0664,3408406645,9
J0665,3408406652,15
J0666,3408406669,6
J0667,3408406676,10
J0668,3408406683,22
J0670,3408406708,6
J0671,3408406715,14
J0672,3408406722,9
J0674,3408406746,16
J0675,3408406753,0
J0678,3408406784,3
J0679,3408406791,20
J0683,3408406830,17
J0684,3408406847,10
J0685,3408406854,1
J0687,3408406878,9
J0688,3408406885,0
J0689,3408406892,5
J0690,3408406900,5
J0691,3408406917,15
J0692,3408406924,1
J0700,3408407004,6
J0701,3408407011,5
J0702,3408407028,5
J0704,3408407042,5
J0707,3408407073,10
J0713,3408407136,2
J0714,3408407143,5
J0716,3408407167,20
J0717,3408407174,8
J0719,3408407198,2
J0721,3408407213,1
J0722,3408407220,10
J0724,3408407244,13
J0725,3408407251,19
J0726,3408407268,7
J0728,3408407282,6
J0729,3408407299,5
J0733,3408407338,10
J0734,3408407345,8
J0736,3408407369,4
J0738,3408407383,11
J0743,3408407439,10
J0744,3408407446,21
J0746,3408407460,5
J0747,3408407477,11
J0748,3408407484,1
J0750,3408407509,16
J0753,3408407530,4
J0754,3408407547,0
J0756,3408407561,13
J0758,3408407585,9
J0759,3408407592,20
J0760,3408407600,13
J0762,3408407624,4
J0763,3408407631,17
J0765,3408407655,11
J0766,3408407662,7
J0768,3408407686,14
J0771,3408407718,7
J0772,3408407725,1
J0776,3408407763,15
J0778,3408407787,9
J0779,3408407794,7
J0783,3408407833,8
J0785,3408407857,15
J0786,3408407864,7
J0789,3408407895,2
J0791,3408407910,25
J0798,3408407989,9
J0799,3408407996,4
J0800,3408408007,10
J0804,3408408045,20
J0805,3408408052,10
J0807,3408408076,20
J0810,3408408108,12
J0811,3408408115,23
J0816,3408408160,7
J0817,3408408177,4
J0818,3408408184,10
J0819,3408408191,25
J0820,3408408209,1
J0822,3408408223,8
J0823,3408408230,12
J0824,3408408247,14
J0826,3408408261,2
J0827,3408408278,4
J0828,3408408285,1
J0830,3408408300,7
J0831,3408408317,3
J0833,3408408331,8
J0835,3408408355,25
J0839,3408408393,9
J0841,3408408418,16
J0842,3408408425,4
J0843,3408408432,9
J0845,3408408456,22
J0846,3408408463,1
J0847,3408408470,15
J0848,3408408487,5
J0849,3408408494,11
J0850,3408408502,6
J0851,3408408519,6
J0852,3408408526,4
J0853,3408408533,4
J0856,3408408564,3
J0857,3408408571,5
J0860,3408408603,8
J0863,3408408634,19
J0864,3408408641,14
J0865,3408408658,6
J0866,3408408665,1
J0867,3408408672,3
J0868,3408408689,3
J0869,3408408696,7
J0870,3408408704,5
J0871,3408408711,6
J0874,3408408742,18
J0875,3408408759,12
J0877,3408408773,6
J0879,3408408797,15
J0880,3408408805,8
J0881,3408408812,8
J0882,3408408829,1
J0884,3408408843,14
J0885,3408408850,19
J0888,3408408881,9
J0890,3408408906,7
J0893,3408408937,6
J0894,3408408944,17
J0895,3408408951,5
J0897,3408408975,10
J0899,3408408999,12
J1401,3408414011,2
J1402,3408414028,0
J1404,3408414042,2
J1406,3408414066,2
J1407,3408414073,6
J1408,3408414080,5
J1409,3408414097,15
J1415,3408414150,0
J1416,3408414167,17
J1417,3408414174,7
J1418,3408414181,13
J1419,3408414198,9
J1421,3408414213,8
J1424,3408414244,17
J1425,3408414251,8
J1426,3408414268,22
J1427,3408414275,11
J1429,3408414299,4
J1432,3408414321,5
J1433,3408414338,13
J1434,3408414345,6
J1438,3408414383,1
J1439,3408414390,6
J1440,3408414408,0
J1441,3408414415,11
J1443,3408414439,13
J1444,3408414446,5
J1445,3408414453,5
J1446,3408414460,7
J1449,3408414491,14
J1450,3408414509,11
J1451,3408414516,12
J1453,3408414530,12
J1455,3408414554,12
J1456,3408414561,16
J1457,3408414578,2
J1458,3408414585,8
J1460,3408414600,7
J1461,3408414617,13
J1464,3408414648,14
J1465,3408414655,16
J1466,3408414662,13
J1470,3408414701,12
J1471,3408414718,2
J1472,3408414725,14
J1475,3408414756,6
J1476,3408414763,9
J1478,3408414787,9
J1479,3408414794,9
J1481,3408414819,5
J1482,3408414826,22
J1483,3408414833,10
J1484,3408414840,10
J1485,3408414857,5
J1486,3408414864,11
J1487,3408414871,10
J1488,3408414888,13
J1489,3408414895,9
J1491,3408414910,3
J1492,3408414927,14
J1493,3408414934,19
J1495,3408414958,6
J1496,3408414965,11
J1497,3408414972,2
J1498,3408414989,10
J1499,3408414996,3
J1501,3408415014,15
J1502,3408415021,4
J1503,3408415038,18
J1504,3408415045,20
J1505,3408415052,10
J1506,3408415069,4
J1507,3408415076,15
J1512,3408415122,9
J1513,3408415139,0
J1515,3408415153,11
J1516,3408415160,0
J1517,3408415177,17
J1518,3408415184,12
J1519,3408415191,2
J1522,3408415223,10
J1523,3408415230,9
J1524,3408415247,8
J1525,3408415254,14
J1526,3408415261,12
J1527,3408415278,3
J1528,3408415285,17
J1529,3408415292,27
J1530,3408415300,10
J1533,3408415331,16
J1534,3408415348,8
J1537,3408415379,10
J1538,3408415386,8
J1539,3408415393,4
J1540,3408415401,11
J1541,3408415418,6
J1542,3408415425,11
J1545,3408415456,11
J1547,3408415470,1
J1548,3408415487,13
J1550,3408415502,8
J1552,3408415526,10
J1553,3408415533,5
J1554,3408415540,12
J1555,3408415557,10
J1556,3408415564,9
J1557,3408415571,15
J1558,3408415588,2
J1559,3408415595,5
J1560,3408415603,6
J1562,3408415627,3
J1563,3408415634,5
J1564,3408415641,7
J1565,3408415658,20
J1566,3408415665,12
J1567,3408415672,6
J1568,3408415689,15
J1569,3408415696,8
J1570,3408415704,11
J1571,3408415711,21
J1573,3408415735,8
J1574,3408415742,9
J1577,3408415773,8
J1578,3408415780,15
J1579,3408415797,12
J1580,3408415805,6
J1581,3408415812,13
J1582,3408415829,8
J1583,3408415836,18
J1584,3408415843,15
J1585,3408415850,10
J1586,3408415867,4
J1587,3408415874,6
J1588,3408415881,19
J1589,3408415898,5
J1590,3408415906,17
J1591,3408415913,15
J1593,3408415937,4
J1594,3408415944,8
J1595,3408415951,5
J1598,3408415982,9
J1599,3408415999,22
J1600,3408416000,13
J1601,3408416017,0
J1602,3408416024,5
J1603,3408416031,4
J1604,3408416048,5
J1608,3408416086,10
J1610,3408416101,18
J1611,3408416118,4
J1614,3408416149,8
J1615,3408416156,8
J1617,3408416170,5
J1618,3408416187,15
J1619,3408416194,0
J1620,3408416202,20
J1621,3408416219,2
J1622,3408416226,11
J1623,3408416233,8
J1624,3408416240,9
J1626,3408416264,13
J1627,3408416271,14
J1628,3408416288,4
J1631,3408416310,6
J1632,3408416327,1
J1634,3408416341,17
J1635,3408416358,3
J1636,3408416365,5
J1637,3408416372,11
J1638,3408416389,11
J1641,3408416411,7
J1642,3408416428,8
J1643,3408416435,3
J1644,3408416442,8
J1645,3408416459,7
J1647,3408416473,12
J1648,3408416480,8
J1649,3408416497,4
J1650,3408416505,15
J1651,3408416512,5
J1653,3408416536,9
J1654,3408416543,11
J1655,3408416550,5
J1656,3408416567,5
J1657,3408416574,7
J1658,3408416581,5
J1659,3408416598,12
J1660,3408416606,5
J1661,3408416613,5
J1662,3408416620,17
J1663,3408416637,11
J1664,3408416644,12
J1665,3408416651,10
J1666,3408416668,11
J1667,3408416675,8
J1668,3408416682,13
J1669,3408416699,5
J1671,3408416714,11
J1672,3408416721,12
J1673,3408416738,7
J1675,3408416752,13
J1676,3408416769,7
J1677,3408416776,10
J1678,3408416783,11
J1679,3408416790,7
J1685,3408416853,16
J1686,3408416860,7
J1687,3408416877,13
J1691,3408416916,7
J1693,3408416930,5
J1694,3408416947,8
J1695,3408416954,8
J1696,3408416961,1
J1699,3408416992,7
J1764,3408417647,7
J2000,3408420001,3
J2001,3408420018,6
J2002,3408420025,10
J2003,3408420032,13
J2004,3408420049,1
J2005,3408420056,11
J2006,3408420063,8
J2008,3408420087,5
J2009,3408420094,16
J2010,3408420102,18
J2012,3408420126,7
J2015,3408420157,10
J2016,3408420164,8
J2017,3408420171,6
J2018,3408420188,7
J2019,3408420195,7
J2021,3408420210,14
J2022,3408420227,11
J2024,3408420241,7
J2025,3408420258,11
J2026,3408420265,11
J2027,3408420272,9
J2029,3408420296,9
J2030,3408420304,11
J2031,3408420311,7
J2033,3408420335,10
J2038,3408420380,12
J2039,3408420397,4
J2040,3408420405,5
J2041,3408420412,5
J2042,3408420429,8
J2044,3408420443,4
J2048,3408420481,5
J2049,3408420498,10
J2050,3408420506,12
J2053,3408420537,6
J2054,3408420544,8
J2055,3408420551,6
J2056,3408420568,5
J2057,3408420575,13
J2059,3408420599,16
J2060,3408420607,6
J2061,3408420614,5
J2062,3408420621,4
